zone,district
181455,county_18025
181456,county_18061
181457,county_18061
181458,county_18061
181459,county_18061
181460,county_18061
181461,county_18061
181462,county_18061
181463,county_18061
181464,county_18061
181465,county_18061
181466,county_18061
181467,county_18061
181468,county_18061
210906,county_21111
210930,county_21111
211006,county_21163
211117,county_21059
211125,county_21091
211146,county_21059
211161,county_21101
990016,external
990020,external
990037,external
990038,external
990039,external
990050,external
990051,external
990053,external
990054,external
990055,external
990056,external
990057,external
990058,external
990060,external
990063,external
990064,external
990066,external
990067,external
990070,external
990074,external
990080,external
990084,external
990085,external
990086,external
990087,external
990088,external
