TAZ,households
210487,51
210488,1121
210489,913
210490,258
210491,487
210492,430
210493,402
210494,478
210495,410
210496,475
210497,59
210498,97
210499,10
210500,124
210501,117
210502,318
210503,891
210504,403
210505,575
210506,254
210507,133
210508,84
210509,9
210510,401
210511,433
210512,477
210513,52
210514,336
210515,144
210516,220
210517,48
210518,195
210519,88
210520,78
210521,148
210522,26
210523,249
210524,483
210525,220
210526,492
210527,385
210528,72
210529,148
210530,23
210531,27
210532,168
210533,38
210534,36
210535,21
210536,405
210537,671
210538,382
210539,901
210540,521
210541,154
210542,60
210543,79
210544,137
210545,196
210546,58
210547,516
210548,261
210549,158
210550,24
210551,1627
210552,598
210553,103
210554,951
210555,181
210556,125
210557,1561
210558,307
210559,222
210560,328
210561,805
210562,73
210563,53
210564,1026
210565,399
210566,91
210567,99
210568,76
210569,23
210570,88
210571,184
210572,1380
210573,15
210574,725
210575,79
210576,352
210577,451
210578,170
210579,601
210580,499
210581,466
210582,301
210583,372
210584,1126
210585,0
210586,1842
210587,871
210588,418
210589,137
210590,45
210591,27
210592,140
210593,137
210594,226
210595,286
210596,64
210597,40
210598,127
210599,84
210600,33
210601,95
210602,43
210603,77
210604,195
210605,219
210606,63
210607,45
210608,193
210609,118
210610,44
210611,61
210612,119
210613,29
210614,101
210615,34
210616,250
210617,342
210618,270
210619,18
210620,160
210621,593
210622,2
210623,74
210624,88
210625,40
210626,225
210627,236
210628,166
210629,529
210630,461
210631,0
210632,166
210633,312
210634,816
210635,283
210636,809
210637,542
210638,419
210639,41
210640,49
210641,927
210642,10
210643,258
210644,735
210645,57
210646,624
210647,177
210648,602
210649,971
210650,333
210651,129
210652,265
210653,483
210654,465
210655,0
210656,460
210657,704
210658,126
210659,249
210660,69
210661,43
210662,71
210663,71
210664,44
210665,316
210666,2440
210667,915
210668,3684
210669,2595
210670,1718
210671,692
210672,1717
210673,891
210674,594
210675,2
210676,125
210677,790
210678,901
210679,208
210680,480
210681,410
210682,207
210683,1271
210684,602
210685,242
210686,718
210687,0
210688,758
210689,2644
210690,675
210691,1691
210692,210
210693,202
210694,975
210695,2899
210696,1985
210697,957
210698,622
210699,619
210700,828
210701,1459
210702,3279
210703,524
210704,1662
210705,1167
210706,605
210707,1590
210708,801
210709,1256
210710,2167
210711,906
210712,1605
210713,1234
210714,906
210715,1201
210716,968
210717,213
210718,75
210719,488
210720,1958
210721,2556
210722,918
210723,1499
210724,646
210725,1208
210726,655
210727,2024
210728,1781
210729,377
210730,11
210731,680
210732,1314
210733,973
210734,41
210735,25
210736,1414
210737,793
210738,356
210739,247
210740,1057
210741,5297
210742,202
210743,1404
210744,1610
210745,343
210746,712
210747,311
210748,347
210749,536
210750,1175
210751,2184
210752,3145
210753,250
210754,23
210755,192
210756,115
210757,154
210758,542
210759,563
210760,288
210761,287
210762,199
210763,556
210764,271
210765,199
210766,144
210767,234
210768,2738
210769,2601
210770,35
210771,1750
210772,2981
210773,3474
210774,292
210775,3197
210776,1287
210777,1626
210778,2804
210779,1150
210780,508
210781,3094
210782,1831
210783,466
210784,991
210785,1936
210786,2258
210787,327
210788,1594
210789,873
210790,554
210791,907
210792,433
210793,1225
210794,417
210795,2274
210796,3395
210797,646
210798,1328
210799,691
210800,133
210801,1178
210802,746
210803,881
210804,413
210805,196
210806,537
210807,2256
210808,938
210809,1021
210810,2093
210811,1915
210812,971
210813,251
210814,1395
210815,517
210816,70
210817,1691
210818,3579
210819,1968
210820,471
210821,2510
210822,3614
210823,2801
210824,2997
210825,2173
210826,3030
210827,752
210828,974
210829,469
210830,1328
210831,722
210832,45
210833,231
210834,1836
210835,1250
210836,1371
210837,2814
210838,571
210839,1242
210840,1002
210841,2017
210842,940
210843,1656
210844,1427
210845,419
210846,314
210847,78
210848,2263
210849,169
210850,1378
210851,1449
210852,929
210853,2212
210854,1659
210855,1978
210856,120
210857,874
210858,541
210859,416
210860,157
210861,101
210862,1000
210863,163
210864,4324
210865,824
210866,509
210867,1453
210868,767
210869,159
210870,1139
210871,0
210872,1465
210873,3149
210874,1501
210875,125
210876,199
210877,198
210878,437
210879,1903
210880,2502
210881,1891
210882,21
210883,2423
210884,48
210885,1444
210886,393
210887,469
210888,3343
210889,1298
210890,575
210891,480
210892,2081
210893,213
210894,307
210895,26
210896,523
210897,744
210898,3260
210899,1093
210900,1356
210901,493
210902,475
210903,813
210904,171
210905,156
210906,1510
210907,2904
210908,455
210909,1101
210910,1026
210911,631
210912,1429
210913,3818
210914,1498
210915,1241
210916,750
210917,2387
210918,2520
210919,1313
210920,518
210921,868
210922,450
210923,1979
210924,541
210925,2899
210926,431
210927,24
210928,3700
210929,0
210930,27
210931,1381
210932,321
210933,2503
210934,2274
210935,3644
210936,2770
210937,2261
210938,32
210939,396
210940,522
210941,995
210942,733
210943,1784
210944,2490
210945,4200
210946,2624
210947,621
210948,958
210949,3271
210950,380
210951,2012
210952,1463
210953,1183
210954,448
210955,1898
210956,248
210957,1207
210958,4995
210959,417
210960,1609
210961,2088
210962,1769
210963,560
210964,2037
210965,1425
210966,957
210967,722
210968,1599
210969,3211
210970,1640
210971,426
210972,365
210973,370
210974,1365
210975,136
210976,570
210977,67
210978,483
210979,0
210980,494
210981,361
210982,823
210983,313
210984,124
210985,202
210986,162
210987,133
210988,414
210989,127
210990,153
210991,125
210992,126
210993,126
210994,194
210995,33
210996,73
210997,178
210998,126
210999,129
211000,35
211001,126
211002,19
211003,158
211004,160
211005,63
211006,60
211007,14
211008,171
211009,109
211010,171
211011,60
211012,120
211013,51
211014,81
211015,22
211016,441
211017,452
211018,402
211019,511
211020,288
211021,265
211022,570
211023,861
211024,809
211025,1091
211026,475
211027,277
211028,602
211029,442
211030,422
211031,519
211032,884
211033,372
211034,259
211035,456
211036,292
211037,145
211038,576
211039,154
211040,752
211041,1328
211042,1712
211043,1283
211044,1060
211045,403
211046,307
211047,504
211048,875
211049,703
211050,157
211051,444
211052,695
211053,182
211054,134
211055,181
211056,245
211057,70
211058,320
211059,28
211060,42
211061,64
211062,10
211063,80
211064,157
211065,8
211066,282
211067,363
211068,850
211069,1383
211070,11
211071,6
211072,0
211073,99
211074,232
211075,523
211076,647
211077,2
211078,1256
211079,102
211080,0
211081,179
211082,134
211083,1
211084,1
211085,513
211086,203
211087,472
211088,358
211089,122
211090,60
211091,62
211092,244
211093,73
211094,65
211095,238
211096,222
211097,75
211098,269
211099,166
211100,206
211101,281
211102,119
211103,809
211104,475
211105,603
211106,520
211107,850
211108,575
211109,1614
211110,3
211111,392
211112,470
211113,572
211114,137
211115,104
211116,54
211117,113
211118,341
211119,168
211120,175
211121,105
211122,96
211123,194
211124,532
211125,354
211126,400
211127,207
211128,16
211129,692
211130,61
211131,655
211132,190
211133,258
211134,341
211135,225
211136,20
211137,355
211138,526
211139,718
211140,557
211141,331
211142,180
211143,212
211144,238
211145,105
211146,44
211147,328
211148,226
211149,883
211150,69
211151,1313
211152,86
211153,237
211154,834
211155,1320
211156,504
211157,1857
211158,1752
211159,1096
211160,1074
211161,1108
211162,2889
211163,724
211164,181
211165,835
211166,316
211167,173
211168,386
211169,5
211170,123
211171,129
211172,237
211173,175
211174,22
211175,23
211176,60
211177,411
211178,174
211179,83
211180,88
211181,117
211182,254
211183,1649
211184,1245
211185,1373
211186,507
211187,101
211188,335
211189,559
211190,302
211191,412
211192,507
211193,433
211194,232
211195,145
211196,85
211197,448
211198,0
211199,60
211200,4225
211201,1099
211202,596
211203,107
211204,183
211205,1589
211206,215
211207,134
211208,162
211209,187
211210,690
211211,319
211212,400
211213,386
211214,64
211215,59
211216,57
211217,20
211218,68
211219,43
211220,43
211221,43
211222,51
211223,19
211224,91
211225,61
211226,86
211227,82
470000,733
470001,652
470002,564
470003,846
470004,855
470005,739
470006,648
470007,1048
470008,474
470009,793
470010,412
470011,484
470012,595
470013,807
470014,791
470015,1208
470016,395
470017,1093
470018,356
470019,0
470020,781
470021,1106
470022,929
470023,347
470024,917
470025,833
470026,1182
470027,1042
470028,605
470029,825
470030,1295
470031,1144
470032,1366
470033,1037
470034,1707
470035,1163
470036,943
470037,877
470038,1057
470039,1045
470040,1517
470041,1204
470042,693
